temperature_C,profile,file_name,n_samples,cycle_duration_s,rho_I_lag1,rho_I_lag10,rho_I_lag20,rho_I_lag40,rho_I_lag50,rho_I_lag100,rho_I_lag200,rho_I_lag800,lag_I_acf_below_0p5
0,BJDST,NMC_0C_BJDST.csv,907,914.98789598,0.9507867679803009,0.5219250796415191,0.2898692931923516,0.0874949409932501,0.005671808171138013,-0.146819701929974,-0.004639017623666205,0.08025232417333805,20
25,BJDST,NMC_25C_BJDST.csv,914,915.0018261839999,0.9514427508916508,0.5249675272996664,0.28885644729302623,0.09347590366191463,0.014477435898612102,-0.15503959647163923,0.0011269368380700177,-0.08680833225168078,20
45,BJDST,NMC_45C_BJDST.csv,907,914.993707384,0.9508275498923119,0.5214522776838295,0.28059969670297136,0.0915828480914288,0.010193489808596625,-0.15705512735147184,0.01599028924638335,-0.055230112789446666,20
0,DST,NMC_0C_DST.csv,356,359.011184163,0.9191722107561823,0.31296376157265404,0.1708457734832362,0.18812822352235806,-0.1316357393428129,-0.17923459504699477,0.038305028142383575,,10
25,DST,NMC_25C_DST.csv,357,358.997465611,0.9200726384079992,0.3212720624564113,0.17854794890263498,0.16185016293790966,-0.13527343208627784,-0.18067838548167034,0.028327737647177505,,10
45,DST,NMC_45C_DST.csv,357,358.997524267,0.920091017296868,0.3213896781669926,0.17860486601254677,0.161807677055041,-0.13535518139984393,-0.18063730193856326,0.028254412743274022,,10
0,US06,NMC_0C_US06.csv,594,599.0075212109999,0.6954936939573075,-0.04739432751153635,-0.1546611384763705,-0.027658295371768886,0.0014396954523923325,-0.00017581194890736675,-0.07667609609036714,,10
25,US06,NMC_25C_US06.csv,595,598.993076104,0.6926815458259674,-0.02477915099734887,-0.1400957912121038,0.0038167826919584687,-0.013663475313302203,-0.007690270133567367,-0.1153439365676553,,10
45,US06,NMC_45C_US06.csv,594,599.0114459,0.6917592596228486,-0.027789173789545485,-0.14870577325223228,0.0002936988712633276,-0.008230044888769873,-0.0266069152252006,-0.08750827471337894,,10
0,FUDS,NMC_0C_FUDS.csv,1358,1370.998184588,0.8479801258048575,0.11030439323554331,-0.03539057214228024,-0.008275201738081162,0.05382120591491304,-0.05747594894609777,0.03186085933982173,-0.010159215901499416,10
25,FUDS,NMC_25C_FUDS.csv,1359,1370.990929094,0.8491382807240007,0.11177572139320142,-0.03304020107337228,-0.004796375495095016,0.0499426299551317,-0.05869437221530055,0.03595611518772951,-0.012073359475846156,10
45,FUDS,NMC_45C_FUDS.csv,1358,1370.990300876,0.8504087951191754,0.11237490547743179,-0.02156551580512849,0.011324130580415525,0.049451195455721506,-0.059281799922047046,0.027329299281866396,-0.017782837096683667,10
