temperature_C,profile,file_name,n_samples,rho_V_lag1,rho_I_lag1,rho_V_lag10,rho_I_lag10,rho_V_lag20,rho_I_lag20,rho_V_lag40,rho_I_lag40,rho_V_lag50,rho_I_lag50,rho_V_lag100,rho_I_lag100,rho_V_lag200,rho_I_lag200,rho_V_lag800,rho_I_lag800,lag_V_acf_below_0p5,lag_I_acf_below_0p5
0.0,BJDST,NMC_0C_BJDST.csv,10172,0.9950843459728469,0.9504165516677027,0.9259965753468398,0.5223448099588336,0.8711296440861552,0.2802480278162012,0.810655612070314,0.0652251949777491,0.7904840542417007,-0.010777849699222667,0.7312834333590571,-0.14534380505088115,0.7462897775792927,0.010389520788257214,0.6999790566841001,-0.1376719265792869,,20
0.0,DST,NMC_0C_DST.csv,9527,0.9761624282324127,0.9201227921273293,0.7611762916719241,0.3251557987496906,0.6930027584954256,0.1892616035251705,0.653298353517028,0.17529439689023882,0.5542371278857684,-0.08040651887418077,0.5226452237170434,-0.11340019202631642,0.5541254765951178,-0.0005298094381008983,0.4838816371888503,-0.07646664701528372,800.0,10
0.0,FUDS,NMC_0C_FUDS.csv,9707,0.9475522892885384,0.8509357232819712,0.6297714070420845,0.11314621334430638,0.5642975894850392,-0.023273877194453597,0.5576468055884688,-0.010578198539435464,0.5787547925025496,0.0503292998839563,0.5243903869336998,-0.05258854055745379,0.5504049808990987,0.022061765386250303,0.50701669048667,0.0116693634419198,,10
0.0,US06,NMC_0C_US06.csv,9482,0.9366923825428878,0.6969139849586121,0.7186457510396903,-0.029806264473534086,0.6809903343913263,-0.14085148333445674,0.7314255406009557,0.05221898729499686,0.7144126050565187,0.003384332868486111,0.6824723710662421,-0.09612019296731238,0.6569445618270384,-0.1155184860434263,0.6301295815566111,-0.04119704036835049,,10
25.0,BJDST,NMC_25C_BJDST.csv,11205,0.9971476422030368,0.9510068926927094,0.9658854870699051,0.5222066835635676,0.9433704936888088,0.27942228830627663,0.9170680204802454,0.07542384401922872,0.9064578046155943,0.00020930739899379595,0.87980072931935,-0.14854302672456277,0.8846713182384063,0.016455473918553464,0.8332343767336492,-0.14312056697551595,,20
25.0,DST,NMC_25C_DST.csv,10621,0.9858269531672529,0.9208943480555082,0.8650636454416074,0.3322821549963683,0.8219674042200968,0.1943612363286878,0.7909840716307545,0.17018813236179195,0.7343072775785581,-0.08193835697451081,0.7191772223720829,-0.11453853113184373,0.7327249018634949,-0.002066257275575876,0.6789411566075663,-0.07495177483220267,,10
25.0,FUDS,NMC_25C_FUDS.csv,11092,0.9688187504279258,0.8508583439253898,0.7949771641881603,0.11781683392541986,0.7574474860667273,-0.018162533541124175,0.745493891400303,-0.011124057679587867,0.7591427493185063,0.05089612115605555,0.7239423686582416,-0.05562791213412285,0.7366917615665349,0.019836347650044845,0.7024803451140117,0.011819757544235376,,10
25.0,US06,NMC_25C_US06.csv,10680,0.9628524316568579,0.6976922321990607,0.8573657195676468,-0.02747126417720807,0.8372626842313478,-0.1459727548384742,0.862856350851973,0.05992328013364686,0.8533077574525629,0.0042978525390398635,0.8345606100062288,-0.09965273692376189,0.8165880123694428,-0.11977469361558836,0.7823357683114545,-0.04755328860226272,,10
45.0,BJDST,NMC_45C_BJDST.csv,11390,0.9978718270109934,0.9507440463607293,0.9772103920216314,0.5222348538728526,0.963179861951208,0.2734669706424361,0.9484010139078731,0.0635581980552071,0.9423529679861032,-0.018694921417040645,0.9263832073949673,-0.14919417162545345,0.9207724731174408,0.02040867366741895,0.837222864524018,-0.1404427265673558,,20
45.0,DST,NMC_45C_DST.csv,11304,0.9887603705318629,0.9190938972665544,0.9004677224327113,0.33123094532438785,0.8745572958887171,0.1942984449325002,0.8627733710774702,0.1782682813109817,0.8200758454831274,-0.07951123967806205,0.8026393197632394,-0.11341018186706331,0.8044742521464798,-0.0017610895822548803,0.7071687744895281,-0.07860116347076328,,10
45.0,FUDS,NMC_45C_FUDS.csv,11626,0.9766127626095228,0.8499411129481341,0.853132391098768,0.11904247441947,0.8242984962107224,-0.01963932203628934,0.8204728906844889,-0.005399855129141837,0.8305041260452487,0.06212186828123609,0.7981240978610546,-0.05787069603768308,0.7968640489485,0.019244559854401024,0.7026019592326211,0.012143566076313447,,10
45.0,US06,NMC_45C_US06.csv,10884,0.9691933136363715,0.698742972936374,0.8865701482368407,-0.024474909340646243,0.8689757172068527,-0.1513587002340429,0.8883861027579826,0.052965297683131775,0.8808517897277781,0.004283926984503758,0.8631062472234062,-0.10227144862594158,0.8415625322862563,-0.12065627765907724,0.7759424007765731,-0.04110634575320583,,10
