temperature_C,profile,file_name,lag_samples,corr_I_t_minus_lag_with_V_t,corr_V_t_minus_lag_with_SOC_t,corr_I_t_minus_lag_with_SOC_t,n_pairs
0.0,BJDST,NMC_0C_BJDST.csv,1,0.38140831005023396,0.8532602524999944,-0.009566780993058296,10171
0.0,BJDST,NMC_0C_BJDST.csv,10,0.2538790619749878,0.8559886492875766,-0.008760316641855951,10162
0.0,BJDST,NMC_0C_BJDST.csv,20,0.15939235325829013,0.8591810846417871,-0.008935196984604855,10152
0.0,BJDST,NMC_0C_BJDST.csv,40,0.05566951820724879,0.861262578337498,-0.011682590128533694,10132
0.0,BJDST,NMC_0C_BJDST.csv,50,0.02466882824613519,0.8609177649688937,-0.010136352063341281,10122
0.0,BJDST,NMC_0C_BJDST.csv,100,-0.07149233135976522,0.8596205616587966,-0.011920248033754813,10072
0.0,BJDST,NMC_0C_BJDST.csv,200,-0.009789556695775943,0.8576024661695546,-0.013217555489286437,9972
0.0,DST,NMC_0C_DST.csv,1,0.5887197311795446,0.7559240627719983,0.0024669962331687546,9526
0.0,DST,NMC_0C_DST.csv,10,0.259377103773472,0.75972499049457,0.0003055192705622489,9517
0.0,DST,NMC_0C_DST.csv,20,0.17165881016378237,0.7601511168046653,0.0019917100999734937,9507
0.0,DST,NMC_0C_DST.csv,40,0.13243520009408766,0.7595550448307424,0.0030271774595360852,9487
0.0,DST,NMC_0C_DST.csv,50,-0.015611023953259338,0.7592763684614868,0.0037599574274391834,9477
0.0,DST,NMC_0C_DST.csv,100,-0.07562225354662842,0.7538897394574682,0.0005174952429197798,9427
0.0,DST,NMC_0C_DST.csv,200,-0.015837106000062263,0.7478635480344481,0.00030308352501698794,9327
0.0,FUDS,NMC_0C_FUDS.csv,1,0.5629663249760929,0.7354503200317272,-0.01609543980144815,9706
0.0,FUDS,NMC_0C_FUDS.csv,10,0.10116541782314084,0.7389851880047077,-0.018519381980505623,9697
0.0,FUDS,NMC_0C_FUDS.csv,20,-0.004724971658266779,0.7389791558201437,-0.017844595698738978,9687
0.0,FUDS,NMC_0C_FUDS.csv,40,-0.011940780865235428,0.7381810070277007,-0.020483766104839696,9667
0.0,FUDS,NMC_0C_FUDS.csv,50,0.023950765075809923,0.7383215394037788,-0.019394075053070753,9657
0.0,FUDS,NMC_0C_FUDS.csv,100,-0.04819140974489145,0.7376985223313097,-0.01547893543940341,9607
0.0,FUDS,NMC_0C_FUDS.csv,200,0.007393437107506433,0.7336735819811109,-0.015988733942452156,9507
0.0,US06,NMC_0C_US06.csv,1,0.39064780333808635,0.8271752293556176,-0.0017009630884440988,9481
0.0,US06,NMC_0C_US06.csv,10,0.011176869528750301,0.8288944839419897,-0.00350726745109477,9472
0.0,US06,NMC_0C_US06.csv,20,-0.06113185208862286,0.8286130846365428,-0.0025860667883864934,9462
0.0,US06,NMC_0C_US06.csv,40,0.032031264992036415,0.8280530723866537,-0.0016446815577227385,9442
0.0,US06,NMC_0C_US06.csv,50,0.008528637553616448,0.8280046463290768,-0.0016711406641119338,9432
0.0,US06,NMC_0C_US06.csv,100,-0.04280442066423879,0.8279838253151028,0.0032885359765041427,9382
0.0,US06,NMC_0C_US06.csv,200,-0.0654067845133948,0.8226013144764375,0.004347409665064439,9282
25.0,BJDST,NMC_25C_BJDST.csv,1,0.274140777092019,0.9078042332448106,-0.002699211519413942,11204
25.0,BJDST,NMC_25C_BJDST.csv,10,0.17596966935342676,0.915165006809544,-0.0022717901966131174,11195
25.0,BJDST,NMC_25C_BJDST.csv,20,0.10933874784323552,0.9215343467517761,-0.0028272313887998616,11185
25.0,BJDST,NMC_25C_BJDST.csv,40,0.04012083454499039,0.9295085091404963,-0.005690346984495829,11165
25.0,BJDST,NMC_25C_BJDST.csv,50,0.016790636777008375,0.9312343345707013,-0.006180109889312382,11155
25.0,BJDST,NMC_25C_BJDST.csv,100,-0.05068534858227436,0.9337543393576175,-0.00963531040866579,11105
25.0,BJDST,NMC_25C_BJDST.csv,200,0.0009710085375994899,0.9339468168572425,-0.00823342102384567,11005
25.0,DST,NMC_25C_DST.csv,1,0.45596383666942175,0.8477052284872152,0.008967575519546534,10620
25.0,DST,NMC_25C_DST.csv,10,0.21050277122995661,0.8557616262209156,0.008830147183341014,10611
25.0,DST,NMC_25C_DST.csv,20,0.1393270712098252,0.8601167919736993,0.006867642782390975,10601
25.0,DST,NMC_25C_DST.csv,40,0.0951436997808265,0.8628035082545825,0.0021555512208353794,10581
25.0,DST,NMC_25C_DST.csv,50,-0.018121875924620074,0.8623779337514822,0.002366023116025161,10571
25.0,DST,NMC_25C_DST.csv,100,-0.05752361984493516,0.8585108684604555,6.868000455437634e-05,10521
25.0,DST,NMC_25C_DST.csv,200,-0.01459049749423404,0.8533270430510339,-0.001225745799916241,10421
25.0,FUDS,NMC_25C_FUDS.csv,1,0.4242683630733072,0.8453349454848512,-0.007992560634895009,11091
25.0,FUDS,NMC_25C_FUDS.csv,10,0.08512537496759605,0.8491964114048857,-0.00843464615957426,11082
25.0,FUDS,NMC_25C_FUDS.csv,20,0.005662589667007513,0.8494967274493345,-0.009294339735700383,11072
25.0,FUDS,NMC_25C_FUDS.csv,40,-0.012666520223176577,0.853830487077906,-0.015386068460742912,11052
25.0,FUDS,NMC_25C_FUDS.csv,50,0.017514591045719313,0.8536736947023552,-0.014795857988405627,11042
25.0,FUDS,NMC_25C_FUDS.csv,100,-0.0452518572813303,0.8524587635378232,-0.014776273106518018,10992
25.0,FUDS,NMC_25C_FUDS.csv,200,-0.0018159821988329643,0.8498432489202513,-0.014712475543402352,10892
25.0,US06,NMC_25C_US06.csv,1,0.26589062342170167,0.8909325816275661,-0.004516475567385102,10679
25.0,US06,NMC_25C_US06.csv,10,-0.00043095275465305886,0.8937253993153628,-0.006130436100766967,10670
25.0,US06,NMC_25C_US06.csv,20,-0.051925433877525504,0.8932659889174291,-0.005329310309219637,10660
25.0,US06,NMC_25C_US06.csv,40,0.019458745927381307,0.8931209191978262,-0.004414877884116467,10640
25.0,US06,NMC_25C_US06.csv,50,0.00010252069845475864,0.8933274350407272,-0.004479858341409066,10630
25.0,US06,NMC_25C_US06.csv,100,-0.03399758259008341,0.8924502920249878,-7.11883205883353e-05,10580
25.0,US06,NMC_25C_US06.csv,200,-0.04657461082720306,0.8937513612466941,0.0009015977216171298,10480
45.0,BJDST,NMC_45C_BJDST.csv,1,0.19013446633130437,0.8921270186479011,-0.014785101739453224,11389
45.0,BJDST,NMC_45C_BJDST.csv,10,0.10853126831155022,0.8958830661651909,-0.012298487299214064,11380
45.0,BJDST,NMC_45C_BJDST.csv,20,0.05717235755850437,0.8995450329841893,-0.01024443318895579,11370
45.0,BJDST,NMC_45C_BJDST.csv,40,0.010321466582380855,0.9059524326572267,-0.007526714690188893,11350
45.0,BJDST,NMC_45C_BJDST.csv,50,-0.006030497891002421,0.9084883173912468,-0.0058446759220053615,11340
45.0,BJDST,NMC_45C_BJDST.csv,100,-0.048048707778332145,0.9216206454244994,-0.008553472438001477,11290
45.0,BJDST,NMC_45C_BJDST.csv,200,-0.005021253968262335,0.9336339507429445,-0.006993371950336851,11190
45.0,DST,NMC_45C_DST.csv,1,0.3616690580947163,0.8602920499693647,-0.003594206749293286,11303
45.0,DST,NMC_45C_DST.csv,10,0.14686686574293362,0.8624362148881193,-0.0008121716146218986,11294
45.0,DST,NMC_45C_DST.csv,20,0.09158366882728589,0.8638948399066672,0.0006163208139242557,11284
45.0,DST,NMC_45C_DST.csv,40,0.076714768500101,0.8653989304489366,0.0017317781672197372,11264
45.0,DST,NMC_45C_DST.csv,50,-0.021320153092379144,0.8657218145825459,0.0027609019977268058,11254
45.0,DST,NMC_45C_DST.csv,100,-0.05228645651413294,0.8665601497431877,-0.00048708354759577355,11204
45.0,DST,NMC_45C_DST.csv,200,-0.009053301740733004,0.8662914416330426,-0.0009186752834137472,11104
45.0,FUDS,NMC_45C_FUDS.csv,1,0.35176203175253584,0.845698048450181,-0.005069402580936187,11625
45.0,FUDS,NMC_45C_FUDS.csv,10,0.06561541387302715,0.8478242556610637,-0.003101675997990805,11616
45.0,FUDS,NMC_45C_FUDS.csv,20,0.0018702314790542307,0.8485469868668483,-0.001538123416365546,11606
45.0,FUDS,NMC_45C_FUDS.csv,40,-0.003913967392433156,0.8532865807303645,-0.0038279349072390207,11586
45.0,FUDS,NMC_45C_FUDS.csv,50,0.025226480000511236,0.8536835466365456,-0.0030047923716237865,11576
45.0,FUDS,NMC_45C_FUDS.csv,100,-0.024943754957919177,0.855033686793267,-0.0012880954963367267,11526
45.0,FUDS,NMC_45C_FUDS.csv,200,0.014563036107472654,0.8571153991711667,0.00020745064781621856,11426
45.0,US06,NMC_45C_US06.csv,1,0.23644335188947022,0.8838855592541367,-0.004554810976727348,10883
45.0,US06,NMC_45C_US06.csv,10,-0.0012455790262470763,0.8876792029576649,-0.004516378325859314,10874
45.0,US06,NMC_45C_US06.csv,20,-0.04945523021850009,0.8893860661143634,-0.004316516885764254,10864
45.0,US06,NMC_45C_US06.csv,40,0.013851251017485113,0.8931732359645577,-0.004772335191773057,10844
45.0,US06,NMC_45C_US06.csv,50,-0.0030596977890838552,0.8951987847818308,-0.0056277241561345104,10834
45.0,US06,NMC_45C_US06.csv,100,-0.03177043141735015,0.8988192305245775,-0.0023343517021174828,10784
45.0,US06,NMC_45C_US06.csv,200,-0.05379944951405913,0.9036490994759067,-0.005843290508788276,10684
