temperature_C,voltage_bin,current_bin,voltage_bin_left_V,voltage_bin_right_V,current_bin_left_A,current_bin_right_A,n_samples,SOC_min_fraction,SOC_max_fraction,SOC_range_fraction,SOC_q25_fraction,SOC_q75_fraction,SOC_IQR_fraction,number_of_profiles_present,dominant_profile_fraction,profile_entropy_bits
0.0,0,0,2.498991249347362,3.1551138939250003,-4.0004830421417825,-2.50026226,244,0.0714417045853136,0.4233117479529822,0.3518700433676686,0.14065385180077394,0.2706055527114047,0.12995170091063074,3,0.42213114754098363,1.5045105191041246
0.0,0,1,2.498991249347362,3.1551138939250003,-2.50026226,-2.116794586,156,0.0878452221546505,0.2378669501927283,0.15002172803807778,0.13193195439110905,0.204431023567686,0.07249906917657695,3,0.6666666666666666,1.2484207795373479
0.0,0,2,2.498991249347362,3.1551138939250003,-2.116794586,-1.66764605,60,0.072061133591575,0.2030861973603352,0.13102506376876022,0.09036444628980587,0.14196470221292365,0.051600255923117774,2,0.6666666666666666,0.9182958340544896
0.0,0,3,2.498991249347362,3.1551138939250003,-1.66764605,-1.474922419,79,0.0523391891777269,0.1683264011590178,0.11598721198129092,0.08485185842606505,0.1526567992916966,0.06780494086563155,3,0.759493670886076,0.9126376590914461
0.0,0,4,2.498991249347362,3.1551138939250003,-1.474922419,-1.34176147,84,0.0502617211409455,0.158116110765776,0.1078543896248305,0.0851875276879941,0.12242386086767247,0.037236333179678366,3,0.8452380952380952,0.6821793811896376
0.0,0,5,2.498991249347362,3.1551138939250003,-1.34176147,-1.14390936494999,37,0.0485741283828777,0.1364905658235692,0.0879164374406915,0.0765959724110753,0.1191098426107252,0.0425138701996499,3,0.5405405405405406,1.2353473971998952
0.0,0,6,2.498991249347362,3.1551138939250003,-1.14390936494999,-1.11124897,21,0.0573803414313457,0.1520114406373308,0.0946310992059851,0.0796824210838863,0.1163906525858069,0.036708231501920596,2,0.9047619047619048,0.4537163391869448
0.0,0,7,2.498991249347362,3.1551138939250003,-1.11124897,-1.0275734421999994,100,0.0558885950806098,0.1523395515803538,0.096450956499744,0.0736311317737037,0.10562258764610002,0.031991455872396324,2,0.92,0.4021791902022728
0.0,0,8,2.498991249347362,3.1551138939250003,-1.0275734421999994,-1.000221372,10,0.0642684365159188,0.1074358495961402,0.0431674130802214,0.08454412912923225,0.10378670454797155,0.019242575418739305,2,0.5,1.0
0.0,0,9,2.498991249347362,3.1551138939250003,-1.000221372,-1.000041485,21,0.0586819777732997,0.1087784851912825,0.0500965074179828,0.0635002161514629,0.1075857963119821,0.04408558016051921,1,1.0,-0.0
0.0,0,10,2.498991249347362,3.1551138939250003,-1.000041485,-0.897111595,24,0.0588319377752232,0.1081809978829014,0.04934906010767821,0.06443337949767468,0.0967661946621254,0.03233281516445072,2,0.6666666666666666,0.9182958340544896
0.0,0,11,2.498991249347362,3.1551138939250003,-0.897111595,-0.834309995,22,0.0551141233490851,0.1094730565544215,0.05435893320533639,0.0751087766761148,0.08565644837574837,0.010547671699633568,2,0.6818181818181818,0.9023932827949788
