temperature_C,comparison_kind,train_profiles,test_profile,overlap_coefficient,jensen_shannon_divergence_bits,occupied_bin_overlap_fraction_intersection_over_union,test_samples_outside_train_occupied_bins_fraction
0.0,leave_one_profile_out,DST+US06+FUDS,BJDST,0.27866752588175947,0.5902589278660919,0.5263559969442322,0.12170664569406212
0.0,leave_one_profile_out,US06+FUDS+BJDST,DST,0.2551532985504725,0.6238346967021441,0.3040488922841864,0.2561142017424163
0.0,leave_one_profile_out,DST+US06+BJDST,FUDS,0.49456926611871,0.3049014933195737,0.7295645530939648,0.0011332028433089524
0.0,leave_one_profile_out,DST+FUDS+BJDST,US06,0.5357528046389308,0.27004036339985893,0.7944996180290298,0.016135836321451172
0.0,main_split,DST+US06+BJDST,FUDS,0.49456926611871,0.3049014933195737,0.7295645530939648,0.0011332028433089524
0.0,single_profile_pair,DST,BJDST,0.07153103906809387,0.8985663496863499,0.11977715877437325,0.9112268973653166
0.0,single_profile_pair,FUDS,BJDST,0.25904728157508106,0.6217237270271669,0.4669527896995708,0.3054463232402674
0.0,single_profile_pair,US06,BJDST,0.3443288618632335,0.50007850900726,0.5211267605633803,0.19858434919386547
0.0,single_profile_pair,BJDST,DST,0.07153103906809387,0.8985663496863499,0.11977715877437325,0.8486407053637031
0.0,single_profile_pair,FUDS,DST,0.3359266435174525,0.5645049874294747,0.283001808318264,0.4451558727826178
0.0,single_profile_pair,US06,DST,0.2516352407937857,0.644328582871724,0.26721311475409837,0.4043245512753228
0.0,single_profile_pair,BJDST,FUDS,0.25904728157508106,0.6217237270271669,0.4669527896995708,0.6185227155660864
0.0,single_profile_pair,DST,FUDS,0.3359266435174525,0.5645049874294747,0.283001808318264,0.5073658184815082
0.0,single_profile_pair,US06,FUDS,0.5780379678470778,0.22903386903452977,0.7709593777009507,0.10404862470382198
0.0,single_profile_pair,BJDST,US06,0.3443288618632335,0.50007850900726,0.5211267605633803,0.4450537861210715
0.0,single_profile_pair,DST,US06,0.2516352407937857,0.644328582871724,0.26721311475409837,0.6676861421641004
0.0,single_profile_pair,FUDS,US06,0.5780379678470778,0.22903386903452977,0.7709593777009507,0.09196372073402236
25.0,leave_one_profile_out,DST+US06+FUDS,BJDST,0.281718775271562,0.5855306583078206,0.5065028901734104,0.0893351182507809
25.0,leave_one_profile_out,US06+FUDS+BJDST,DST,0.23954427790237987,0.6436032070038495,0.27601156069364163,0.3352791639205348
25.0,leave_one_profile_out,DST+US06+BJDST,FUDS,0.49449655265174597,0.30061393182110635,0.740606936416185,0.001893256401009737
25.0,leave_one_profile_out,DST+FUDS+BJDST,US06,0.5073612265001697,0.30618519880042017,0.7644508670520231,0.04250936329588015
25.0,main_split,DST+US06+BJDST,FUDS,0.49449655265174597,0.30061393182110635,0.740606936416185,0.001893256401009737
25.0,single_profile_pair,DST,BJDST,0.06568071026639696,0.9067991306525889,0.11376146788990826,0.9116465863453815
25.0,single_profile_pair,FUDS,BJDST,0.27695901207104334,0.6053965328950836,0.48327759197324416,0.2526550647032575
25.0,single_profile_pair,US06,BJDST,0.352066317705278,0.5014077899970899,0.5154975530179445,0.17875948237394018
25.0,single_profile_pair,BJDST,DST,0.06568071026639696,0.9067991306525889,0.11376146788990826,0.8603709631861407
25.0,single_profile_pair,FUDS,DST,0.33962617283499585,0.5664842137466681,0.2512396694214876,0.47679126259297616
25.0,single_profile_pair,US06,DST,0.20369327849180147,0.6972390488709053,0.22452107279693487,0.4734017512475285
25.0,single_profile_pair,BJDST,FUDS,0.27695901207104334,0.6053965328950836,0.48327759197324416,0.6364046159394159
25.0,single_profile_pair,DST,FUDS,0.33962617283499585,0.5664842137466681,0.2512396694214876,0.526595744680851
25.0,single_profile_pair,US06,FUDS,0.5563964513344976,0.25757399891267196,0.7688524590163934,0.10016227912008654
25.0,single_profile_pair,BJDST,US06,0.352066317705278,0.5014077899970899,0.5154975530179445,0.47106741573033706
25.0,single_profile_pair,DST,US06,0.20369327849180147,0.6972390488709053,0.22452107279693487,0.7397003745318351
25.0,single_profile_pair,FUDS,US06,0.5563964513344976,0.25757399891267196,0.7688524590163934,0.10992509363295881
45.0,leave_one_profile_out,DST+US06+FUDS,BJDST,0.2827313216292009,0.5846608007803047,0.48011569052783803,0.039596136962247584
45.0,leave_one_profile_out,US06+FUDS+BJDST,DST,0.24428727555129676,0.646238661916454,0.3123644251626898,0.36049186128803956
45.0,leave_one_profile_out,DST+US06+BJDST,FUDS,0.503413047320915,0.29096392105666585,0.7816341287057122,0.0036125924651642873
45.0,leave_one_profile_out,DST+FUDS+BJDST,US06,0.5218122193866406,0.2879132983823951,0.7997107736804049,0.019570011025358325
45.0,main_split,DST+US06+BJDST,FUDS,0.503413047320915,0.29096392105666585,0.7816341287057122,0.0036125924651642873
45.0,single_profile_pair,DST,BJDST,0.07289402245671853,0.8990829688093142,0.10416666666666667,0.9059701492537313
45.0,single_profile_pair,FUDS,BJDST,0.27949680464014004,0.5978479913689192,0.4574468085106383,0.18577699736611064
45.0,single_profile_pair,US06,BJDST,0.3489738221145392,0.49813108201647194,0.5044971381847915,0.08489903424056189
45.0,single_profile_pair,BJDST,DST,0.07289402245671853,0.8990829688093142,0.10416666666666667,0.8527954706298655
45.0,single_profile_pair,FUDS,DST,0.315519297535638,0.5849800492620175,0.2922337870296237,0.4888535031847133
45.0,single_profile_pair,US06,DST,0.2194777819132625,0.6909587556240114,0.25412293853073464,0.5321125265392781
45.0,single_profile_pair,BJDST,FUDS,0.27949680464014004,0.5978479913689192,0.4574468085106383,0.6374505418888698
45.0,single_profile_pair,DST,FUDS,0.315519297535638,0.5849800492620175,0.2922337870296237,0.5338895578874936
45.0,single_profile_pair,US06,FUDS,0.5935164425400165,0.22025042337048314,0.8200325732899023,0.09969034921727163
45.0,single_profile_pair,BJDST,US06,0.3489738221145392,0.49813108201647194,0.5044971381847915,0.49476295479603083
45.0,single_profile_pair,DST,US06,0.2194777819132625,0.6909587556240114,0.25412293853073464,0.7070011025358325
45.0,single_profile_pair,FUDS,US06,0.5935164425400165,0.22025042337048314,0.8200325732899023,0.07047041528849687
